Date,Close
2018-12,295.65
2018-11,284.35
2018-10,280.5
2018-09,265
2018-08,308.85
2018-07,293.4
2018-06,259.3
2018-05,269.2
2018-04,246.3
2018-03,250.1
2018-02,268.75
2018-01,312.75
2017-12,309.5
2017-11,320.45
2017-10,305.8
2017-09,253.75
2017-08,277.35
2017-07,312.55
2017-06,273.6
2017-05,288.55
2017-04,289.45
2017-03,292.6
2017-02,269.2
2017-01,260
2016-12,249.75
2016-11,258.4
2016-10,257.85
2016-09,250.7
2016-08,252.55
2016-07,229.05
2016-06,218.65
2016-05,204.85
2016-04,188.95
2016-03,194.3
2016-02,158.4
2016-01,179.95
2015-12,224.4
2015-11,250.45
2015-10,237.2
2015-09,237.25
2015-08,247.1
2015-07,270.4
2015-06,262.8
2015-05,278.15
2015-04,270.05
2015-03,267
2015-02,301.6
2015-01,310
2014-12,311.85
2014-11,321.45
2014-10,270.17
2014-09,244.24
2014-08,246.05
2014-07,243.98
2014-06,268.59
2014-05,254.19
2014-04,207.9
2014-03,191.83
2014-02,153.17
2014-01,152.56
2013-12,176.55
2013-11,182.15
2013-10,179.55
2013-09,161.53
2013-08,151.44
2013-07,170.99
2013-06,195.36
2013-05,204.77
2013-04,226.42
2013-03,207.28
2013-02,208.54
2013-01,243.66
2012-12,238.38
2012-11,217.01
2012-10,210.96
2012-09,223.79
2012-08,184.5
2012-07,200.52
2012-06,215.92
2012-05,205.56
2012-04,213.8
2012-03,209.5
2012-02,224.34
2012-01,206.11
2011-12,161.95
2011-11,176.29
2011-10,190.67
2011-09,191.11
2011-08,197.45
2011-07,234.2
2011-06,240.6
2011-05,229.78
2011-04,280.56
2011-03,276.79
2011-02,263.2
2011-01,264.11
