Date,Close
Dec-18,295.65
Nov-18,284.35
Oct-18,280.5
Sep-18,265
Aug-18,308.85
Jul-18,293.4
Jun-18,259.3
May-18,269.2
Apr-18,246.3
Mar-18,250.1
Feb-18,268.75
Jan-18,312.75
Dec-17,309.5
Nov-17,320.45
Oct-17,305.8
Sep-17,253.75
Aug-17,277.35
Jul-17,312.55
Jun-17,273.6
May-17,288.55
Apr-17,289.45
Mar-17,292.6
Feb-17,269.2
Jan-17,260
Dec-16,249.75
Nov-16,258.4
Oct-16,257.85
Sep-16,250.7
Aug-16,252.55
Jul-16,229.05
Jun-16,218.65
May-16,204.85
Apr-16,188.95
Mar-16,194.3
Feb-16,158.4
Jan-16,179.95
Dec-15,224.4
Nov-15,250.45
Oct-15,237.2
Sep-15,237.25
Aug-15,247.1
Jul-15,270.4
Jun-15,262.8
May-15,278.15
Apr-15,270.05
Mar-15,267
Feb-15,301.6
Jan-15,310
Dec-14,311.85
Nov-14,321.45
Oct-14,270.17
Sep-14,244.24
Aug-14,246.05
Jul-14,243.98
Jun-14,268.59
May-14,254.19
Apr-14,207.9
Mar-14,191.83
Feb-14,153.17
Jan-14,152.56
Dec-13,176.55
Nov-13,182.15
Oct-13,179.55
Sep-13,161.53
Aug-13,151.44
Jul-13,170.99
Jun-13,195.36
May-13,204.77
Apr-13,226.42
Mar-13,207.28
Feb-13,208.54
Jan-13,243.66
Dec-12,238.38
Nov-12,217.01
Oct-12,210.96
Sep-12,223.79
Aug-12,184.5
Jul-12,200.52
Jun-12,215.92
May-12,205.56
Apr-12,213.8
Mar-12,209.5
Feb-12,224.34
Jan-12,206.11
Dec-11,161.95
Nov-11,176.29
Oct-11,190.67
Sep-11,191.11
Aug-11,197.45
Jul-11,234.2
Jun-11,240.6
May-11,229.78
Apr-11,280.56
Mar-11,276.79
Feb-11,263.2
Jan-11,264.11
